name,name_simbadable,ref_discovery,J_2MASS,W1,spt_ir,ra_j2000_formula,dec_j2000_formula,source_j2000_formula,glon_j2000,glat_j2000,2 deg,4 deg,6 deg (Kepler),8 deg,10 deg,12 deg (TESS 1 detector),14 deg,16 deg,18 deg,20 deg
Luhman 16,NAME Luhman 16,Luhm13,10.733,7.872,L7.5+T0.5,162.3288,-53.3195,SIMBAD,285.1886,5.2925,1,1,1,2,2,2,2,4,6,11
LP 944-20,LP 944-20,Kirk97b,10.725,9.146,L0: FLD-G,54.8969,-35.4288,Gaia23,236.6715,-53.4115,0,0,2,6,11,13,16,21,29,35
2MASSI J0746425+200032,LSPM J0746+2000,Reid00a,11.759,10.137,L1,116.6772,20.0089,PS1,200.4375,20.8395,1,2,4,6,9,13,18,22,29,35
2MASS J17072343-0558249,** BUG 5A,Gizi02b,12.052,10.24,L1,256.8476,-5.9737,Gaia23,14.8686,19.9218,1,1,3,4,6,10,15,18,23,25
LSR J0602+3910,LSR J0602+3910,Sali03b,12.3,10.451,L2: INT-G,90.6269,39.1829,Gaia23,172.8639,8.1592,0,1,3,6,6,6,12,14,15,16
2MASSW J0036159+182110,LSPM J0036+1821,Reid00a,12.466,10.605,L4:,9.0671,18.3529,Gaia23,117.8937,-44.3703,0,2,8,11,17,23,30,42,49,60
2MASSI J0835425-081923,2MASS J08354256-0819237,Cruz03,13.169,10.613,L4 pec,128.9272,-8.3232,Gaia23,233.1363,18.7213,0,0,2,5,9,11,14,17,22,33
2MASS J03552337+1133437,2MASS J03552337+1133437,Reid06b,14.05,10.617,L3: VL-G,58.8474,11.5622,Gaia23,178.1832,-30.9594,2,4,9,15,18,29,41,47,55,61
2MASS J17312974+2721233,LSPM J1731+2721,Reid08b,12.094,10.623,L0: FLD-G,262.8739,27.3565,Gaia23,50.8915,28.666,1,2,8,12,14,19,26,30,37,44
2MASS J18212815+1414010,2MASS J18212815+1414010,Loop08b,13.431,10.708,L5: FLD-G,275.3673,14.2336,Gaia23,42.4536,12.9794,0,0,0,1,4,7,10,12,18,21
2MASSW J1507476-162738,2MASSW J1507476-162738,Reid00a,12.83,10.72,L5.5,226.9487,-16.4611,Gaia23,344.1157,35.2846,0,1,2,4,8,14,21,32,39,44
LHS 102BC,L 362-29 B,Eros99c,13.109,10.736,L4.5,1.1453,-40.7351,Gaia23,335.328,-73.3129,0,1,6,8,10,13,16,19,23,29
SIPS J2045-6332,SIPS J2045-6332,Deac07,12.619,10.77,L1:,311.26,-63.5352,Gaia23,332.179,-36.6443,0,0,0,2,4,5,10,13,15,18
DENIS-P J025503.3-470049,DENIS J025503.3-470049,Mart99e,13.246,10.773,L9,43.7654,-47.0143,Gaia23,260.5896,-58.6727,0,0,0,2,4,7,11,17,27,33
2MASSW J0045214+163445,2MASS J00452143+1634446,Wils03,13.059,10.786,L2: VL-G,11.3392,16.5791,Gaia23,120.8239,-46.2677,0,4,6,11,17,24,33,42,52,65
2MASS J21481628+4003593,2MASSW J2148162+400359,Loop08b,14.147,10.801,L6 FLD-G,327.0679,40.0665,Gaia23,89.0262,-10.4517,0,0,0,2,3,6,8,8,9,14
ULAS J124052.92+112940.4,BRLT 186,Maro15,NaN,10.823,L1:,190.2205,11.4944,PS1,293.4108,74.1706,0,0,1,5,7,14,20,34,42,50
2MASSW J1645221-131951,2MASS J16452211-1319516,Gizi02b,12.451,10.828,L1,251.3421,-13.3312,Gaia23,5.1422,20.3388,0,0,1,2,6,9,23,29,35,39
2MASS J04433761+0002051,2MASSI J0443376+000205,Hawl02,12.507,10.851,L0: VL-G,70.9067,0.0348,Gaia23,197.022,-28.0812,0,0,3,7,14,15,20,28,38,50
