name,ra_j2000_formula,dec_j2000_formula
USco J160603.75-221930.0,241.5157,-22.325
USco J160714.79-232101.2,241.8116,-23.3504
USco J160606.29-233513.3,241.5262,-23.587
USco J160727.82-223904.0,241.8659,-22.651
USco J160723.82-221102.0,241.8493,-22.1839
USco J160828.47-231510.4,242.1187,-23.2529
USco J161441.68-235105.9,243.6737,-23.8516
USco J160818.43-223225.0,242.0768,-22.5403
PSO J239.7016-23.2664,239.7016,-23.2664
USco1556 B,239.0977,-25.6849
USco1621 B,245.368,-25.4989
USco J154722.82-213914.3,236.8451,-21.6539
USco J161228.95-215936.1,243.1206,-21.9933
2MASSW J0208183+254253,32.0766,25.7148
DENIS-P J154747.2-242349,236.9466,-24.3971
SDSS J155644.35+172308.9,239.1848,17.3858
2MASSW J0208549+250048,32.2292,25.0135
SDSS J133316.06+374421.7,203.3169,37.7393
2MASS J00550564+0134365,13.7736,1.5769
PSO J346.5281-15.9406,346.5277,-15.9407
2MASSI J1600054+170832,240.0228,17.1424
WISEA J010202.11+035541.4,15.5077,3.928
2MASS J13264464+3627407,201.686,36.4613
2MASS J00521232+0012172,13.0515,0.2049
2MASSW J0036159+182110,9.0671,18.3529
2MASS J15500845+1455180,237.5352,14.9215
SDSSp J010752.33+004156.1,16.968,0.6991
2MASS J13364062+3743230,204.1691,37.723
SDSS J004154.54+134135.5,10.4773,13.6932
2MASS J13061727+3820296,196.572,38.3416
SDSS J135712.40+142839.8,209.3016,14.4778
WISEPA J020625.26+264023.6,31.6048,26.673
SIMP J12113013+0406096,182.8756,4.1027
2MASSW J0820299+450031,125.1249,45.0087
SDSS J104409.43+042937.6,161.0393,4.4938
SDSS J154849.02+172235.4,237.2046,17.3766
WISEA J004403.39+022810.6,11.0138,2.4698
SDSSp J005406.55-003101.8,13.5274,-0.5173
2MASS J13580384+1458204,209.516,14.9723
WISEA J103602.80+030615.6,159.0129,3.1044
WISEA J041232.77+104408.3,63.1362,10.7355
SDSS J003843.99+134339.5,9.6833,13.7276
WISEA J131845.58+362614.0,199.6903,36.4372
ULAS J134414.90+092405.0,206.0619,9.4013
SDSS J104625.76+042441.0,161.6073,4.4113
ULAS J141203.85+121609.9,213.0165,12.2694
2MASS J13170488+3447513,199.2704,34.7976
2MASS J03552337+1133437,58.8474,11.5622
SDSS J104842.84+011158.5,162.1784,1.1995
2MASSW J0228110+253738,37.046,25.6273
DENIS J0031192-384035,7.8304,-38.6767
2MASS J13313310+3407583,202.888,34.1328
2MASSW J1615441+355900,243.934,35.9832
2MASS J00165953-4056541,4.2481,-40.9483
2MASS J14075361+1241099,211.9734,12.6861
SDSS J034408.91+011124.9,56.0372,1.1903
2MASSW J0147334+345311,26.8894,34.8864
SDSSp J144600.60+002452.0,221.5025,0.4144
2MASSW J0208236+273740,32.0986,27.6277
SDSS J080959.01+443422.2,122.4948,44.5719
WISEPC J004928.48+044100.1,12.3678,4.6826
2MASS J00344300-4102266,8.6792,-41.0407
SDSS J104922.45+012559.2,162.3435,1.4331
WISEP J131141.91+362925.2,197.9259,36.4899
SDSS J085805.47+221457.8,134.5229,22.2495
SIMP J16055741+1931115,241.4892,19.5199
SIMP J03570493+1529270,59.2707,15.4907
HIP 63506C,195.2108,42.2464
SDSS J035308.54+103056.0,58.2853,10.5157
PSO J057.2893+15.2433,57.2892,15.2437
2MASS J04234652+0843211,65.9438,8.7225
